Table 2 
Positions, Velocities, Stellar Parameters, and Membership for Reticulum 2 and Horologium 1 Candidates


Object	alpha(J2000)	delta(J2000)	g	V_hel	${T}_{\mathrm{eff}}$	log g	[Fe/H]	[alpha/Fe]	${\chi }_{\mathrm{red}}^{2}$	Member?	
	(deg)	(deg)	(mag)	(km s^-1)	(K)						
Reticulum 2											
											
Reti 24	53.9127	$-53.9323$	17.88	$-19.2\pm 0.3$	${5138}_{-175}^{+181}$	${4.48}_{-0.05}^{+0.06}$	$-{0.11}_{-0.03}^{+0.03}$	${0.09}_{-0.02}^{+0.02}$	1.00		
Horologium 1											
											
Horo 0	43.9692	$-54.3117$	18.81	110.6 +or- 0.4	${5135}_{-173}^{+179}$	${4.84}_{-0.15}^{+0.18}$	$-{0.47}_{-0.08}^{+0.07}$	${0.30}_{-0.06}^{+0.06}$	2.01	cdots	
Horo 1	44.0306	$-54.2768$	18.28	254.2 +or- 0.2	${4640}_{-141}^{+146}$	${4.67}_{-0.16}^{+0.12}$	$-{0.88}_{-0.08}^{+0.10}$	${0.29}_{-0.04}^{+0.04}$	1.58	cdots	
Horo 2	43.8105	$-54.2267$	19.20	152.6 +or- 0.8	${5365}_{-182}^{+189}$	${4.95}_{-0.12}^{+0.05}$	$-{0.59}_{-0.10}^{+0.10}$	${0.38}_{-0.11}^{+0.10}$	2.23	cdots	
Horo 3	43.6503	$-54.1802$	17.73	27.5 +or- 0.1	${4389}_{-132}^{+137}$	${4.24}_{-0.02}^{+0.05}$	$-{0.39}_{-0.03}^{+0.02}$	${0.21}_{-0.01}^{+0.03}$	2.03	cdots	
Horo 5	44.1126	$-54.2174$	17.79	64.8 +or- 0.5	${5038}_{-168}^{+173}$	${4.94}_{-0.14}^{+0.07}$	$-{0.58}_{-0.08}^{+0.08}$	${0.29}_{-0.07}^{+0.07}$	1.58	cdots	
Horo 6	44.1567	$-54.1941$	19.06	91.2 +or- 0.9	${4871}_{-153}^{+158}$	${4.79}_{-0.15}^{+0.16}$	$-{0.71}_{-0.09}^{+0.09}$	${0.38}_{-0.08}^{+0.05}$	2.22	cdots	
Horo 7	44.0076	$-54.1986$	19.30	163.1 +or- 1.0	${5148}_{-176}^{+182}$	${4.88}_{-0.17}^{+0.10}$	$-{0.46}_{-0.13}^{+0.12}$	${0.39}_{-0.10}^{+0.12}$	1.53	cdots	
Horo 9	43.9179	$-54.1353$	18.71	118.5 +or- 0.5	${4993}_{-163}^{+168}$	${0.71}_{-0.15}^{+0.23}$	$-{2.55}_{-0.18}^{+0.11}$	${0.35}_{-0.14}^{+0.17}$	1.97	Yes	
Horo 10	43.8967	$-54.1122$	19.31	116.6 +or- 0.1	${4504}_{-134}^{+138}$	${0.53}_{-0.02}^{+0.04}$	$-{3.01}_{-0.03}^{+0.02}$	${0.36}_{-0.03}^{+0.03}$	1.83	Yes	
Horo 11	43.9699	$-54.0877$	18.83	114.6 +or- 0.7	${4972}_{-158}^{+163}$	${1.36}_{-0.29}^{+0.30}$	$-{2.79}_{-0.17}^{+0.17}$	${0.35}_{-0.18}^{+0.19}$	2.24	Yes	
Horo 15	43.8912	$-54.0939$	19.08	105.6 +or- 1.0	${5026}_{-168}^{+174}$	${1.45}_{-0.41}^{+0.39}$	$-{2.77}_{-0.22}^{+0.17}$	${0.15}_{-0.11}^{+0.21}$	2.02	Yes	
Horo 17	43.8719	$-54.0727$	18.65	108.1 +or- 1.9	${5263}_{-178}^{+184}$	${3.15}_{-0.55}^{+1.63}$	$-{2.36}_{-0.25}^{+0.24}$	${0.18}_{-0.17}^{+0.27}$	2.03	Yes	
Horo 18	43.8497	$-54.0445$	18.40	17.1 +or- 0.2	${4925}_{-155}^{+160}$	${4.44}_{-0.09}^{+0.08}$	$-{0.58}_{-0.05}^{+0.05}$	${0.16}_{-0.04}^{+0.05}$	4.25	cdots	
Horo 19	43.8867	$-53.9968$	19.79	18.7 +or- 0.6	${5303}_{-179}^{+185}$	${4.48}_{-0.20}^{+0.27}$	$-{0.34}_{-0.10}^{+0.10}$	${0.02}_{-0.10}^{+0.09}$	1.57	cdots	
Horo 20	43.6278	$-54.0217$	18.28	98.5 +or- 0.2	${4954}_{-159}^{+164}$	${4.63}_{-0.10}^{+0.11}$	$-{0.60}_{-0.06}^{+0.05}$	${0.08}_{-0.05}^{+0.04}$	3.00	cdots	
Horo 21	43.6917	$-53.9571$	19.36	67.4 +or- 1.1	${5342}_{-180}^{+186}$	${4.95}_{-0.17}^{+0.12}$	$-{0.12}_{-0.14}^{+0.20}$	$-{0.12}_{-0.11}^{+0.12}$	2.96	cdots	
Horo 22	43.9334	$-53.9473$	19.02	70.0 +or- 0.6	${4979}_{-161}^{+167}$	${4.63}_{-0.28}^{+0.23}$	$-{0.49}_{-0.12}^{+0.13}$	${0.06}_{-0.10}^{+0.12}$	1.99	cdots	
Horo 23	43.8368	$-53.9240$	18.69	44.2 +or- 0.3	${4821}_{-150}^{+155}$	${4.76}_{-0.13}^{+0.12}$	$-{0.43}_{-0.07}^{+0.07}$	${0.25}_{-0.07}^{+0.06}$	1.73	cdots	
