key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,table
antlia_2,143.8079,-36.6991,Antlia II,mw,1,1,104.6,8.6,8.6,156.0,2.4,2.4,0.6,0.04,0.04,,Ji2021ApJ...921...32J,20.47,0.09,0.09,Vivas2022ApJ...926...78V,10.74,0.08,0.08,Ji2021ApJ...921...32J,288.8,0.4,0.4,5.98,0.36,0.37,,Ji2021ApJ...921...32J,-0.093,0.008,0.008,0.1,0.009,0.009,Pace2022ApJ...940..136P,-1.9,0.04,0.04,0.34,0.03,0.03,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,Putman2021ApJ...913...53P,,,,,,,,,-9.729999999999999,0.08,0.08,6.125029995663981,124.16523075924093,5.04102995650355,5.254353385757696,264.8009333626055,11.254267840858224,-74.01700695932293,34.73031099206316,-93.44673728212048,125.1488197212054,879.4149174314831,493.69109992423085,125.1488197212054,,1.99153905027405,-1.9,0.04,0.04,spectroscopic,49.28560228275137,-21.510442686012595,78722415.06578396,11806467.686189897,13818835.336537436,,3761.921752778478,337.7442222549862,352.05564278372776,2379.319821386668,247.71646433136675,248.0095836737887,30.722611527222263,dwarf_mw
aquarius_2,338.4813,-9.3274,Aquarius II,mw,1,1,5.1,0.8,0.8,121.0,9.0,9.0,0.39,0.09,0.09,,Torrealba2016MNRAS.463..712T,20.16,0.07,0.07,Torrealba2016MNRAS.463..712T,15.8,0.14,0.14,Torrealba2016MNRAS.463..712T,-65.3,1.8,1.8,4.7,1.2,1.8,,Bruce2023ApJ...950..167B,-0.179,0.113,0.119,-0.466,0.095,0.096,Pace2022ApJ...940..136P,-2.57,0.17,0.17,0.36,0.14,0.2,,Bruce2023ApJ...950..167B,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,,,,,,,,,-4.359999999999999,0.14,0.14,3.9770299956639814,107.64652136298349,3.4147784236531322,3.5266513651757094,55.10824380657447,-53.00849968978198,8.721198822529816,-92.52250217725995,54.32587637128429,105.12796229266009,726.0327977126829,344.52889543784994,105.12796229266009,,3.255719221656933,-2.57,0.17,0.17,spectroscopic,54.13741330173909,101.99099153476591,2474840.2828676216,1338346.2774492693,2022169.6867195088,,158.77166847972114,25.137855955935834,25.657238028861883,123.69104595134039,21.665235825894527,21.8480168909623,29.672303516374832,dwarf_mw
aquarius_3,357.218,-3.489,Aquarius III,mw,1,1,2.1,0.5,0.7,119.0,11.0,17.0,0.47,0.28,0.14,,Cerny2025ApJ...979..164C,19.66,0.11,0.11,Cerny2025ApJ...979..164C,17.16,0.5,0.3,Cerny2025ApJ...979..164C,-13.1,0.9,1.0,,,,3.5,Cerny2025ApJ...979..164C,1.01,0.25,0.26,-0.11,0.19,0.19,Cerny2025ApJ...979..164C,-2.61,0.21,0.21,0.46,0.14,0.26,,Cerny2025ApJ...979..164C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,0.5,0.3,3.2330299956639816,85.50667128846841,4.223619672058462,4.443086864535061,87.91668981380795,-62.02971681545199,26.070168255981912,-78.41436978468609,21.975526687874225,85.75356317536615,719.958692467615,334.91872495027235,85.75356317536615,,,-2.61,0.21,0.21,spectroscopic,95.36230877029602,153.6339783435598,,,,433213.9011449904,51.64342674323305,14.783591833583365,15.196777860556153,36.27798020956331,12.709467711159686,13.776793362137255,28.868828529501368,dwarf_mw
bootes_1,210.02,14.5135,Bootes I,mw,1,1,9.97,0.27,0.27,6.0,3.0,3.0,0.3,0.03,0.03,,Munoz2018ApJ...860...66M,19.11,0.08,0.08,DallOra2006ApJ...653L.109D,13.09,0.25,0.25,Munoz2018ApJ...860...66M,101.8,0.7,0.7,4.6,0.6,0.8,,Koposov2011ApJ...736..146K,-0.385,0.017,0.017,-1.068,0.013,0.013,Pace2022ApJ...940..136P,-2.35,0.08,0.09,0.44,0.06,0.07,,Simon2019ARA&A..57..375S,11.9,1.0,1.0,37.5,0.9,0.9,Munoz2018ApJ...860...66M,11.26,0.27,0.27,0.64,0.03,0.03,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.25,Spekkens2014ApJ...795L...5S,,,,,,,,,-6.02,0.25,0.25,4.641029995663981,66.37430704019089,2.4008234919260687,2.4909225942365936,358.101946231503,69.63657618118894,-17.501856298883038,60.188995328126886,21.82930375778147,64.00424304693458,812.8264164382861,426.4813596740494,64.00424304693458,,2.4141152947871016,-2.35,0.08,0.09,spectroscopic,110.74956343500641,71.76872466174986,3166277.7532732626,900650.5514464467,1052897.5248555895,,192.2358016203956,8.634859422500682,8.974126017268986,160.8605354939023,8.041686015029597,8.276388054577353,28.582856461185816,dwarf_mw
bootes_2,209.5141,12.8553,Bootes II,mw,1,1,3.17,0.42,0.42,-68.0,27.0,27.0,0.25,0.11,0.11,,Munoz2018ApJ...860...66M,18.1,0.06,0.06,Walsh2008ApJ...688..245W,15.16,0.25,0.25,Munoz2018ApJ...860...66M,-130.4,1.1,1.4,2.9,1.2,1.6,,Bruce2023ApJ...950..167B,-2.426,0.077,0.08,-0.414,0.061,0.061,Pace2022ApJ...940..136P,-2.71,0.1,0.11,,,,0.37,Bruce2023ApJ...950..167B,2.5,1.47,1.47,12.9,8.1,8.1,Munoz2018ApJ...860...66M,3.05,0.45,0.45,0.71,0.43,0.43,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.091,Spekkens2014ApJ...795L...5S,,,,,,,,,-2.9400000000000013,0.25,0.25,3.409029995663982,41.68693834703355,1.1360848021951213,1.1679136927103642,353.73137496042546,68.86490204595269,-12.104357845453922,37.66547900597226,13.137619310561313,39.510317387151964,799.8056919584401,412.3763017702035,39.510317387151964,,1.5712166784361579,-2.71,0.1,0.11,spectroscopic,-128.18920113065167,-169.26706276826968,252352.258624669,184356.98537790834,319103.8485400371,,38.25293409149569,5.116949687142437,5.2173822134145595,32.9991921117261,5.033018809093484,5.017077225563604,28.223129246398422,dwarf_mw
bootes_3,209.3,26.8,Bootes III,mw,1,1,40.6,3.8,4.2,279.0,9.0,7.0,0.33,0.09,0.08,,Moskowitz2020ApJ...892...27M,18.34,0.02,0.02,Carlin2018ApJ...865....7C,12.6,0.5,0.5,Correnti2009MNRAS.397L..26C,197.5,3.6,3.6,10.7,3.5,3.5,,Carlin2009ApJ...702L...9C,-1.176,0.019,0.019,-0.89,0.015,0.015,Pace2022ApJ...940..136P,-2.1,0.2,0.2,0.55,0.19,0.19,,Carlin2009ApJ...702L...9C,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,Putman2021ApJ...913...53P,,,,,,,,,-5.74,0.5,0.5,4.529029995663982,46.55860935229591,0.42685189625800035,0.43080150822559915,35.40523804627576,75.35347544349705,-2.440574404074853,43.50410128296492,16.405513492707172,45.58291438194171,793.2152461970951,406.2267077661669,45.58291438194171,,2.030394580848984,-2.1,0.2,0.2,spectroscopic,243.6645035689484,218.88886107417252,46951877.871186405,25678312.59918949,37927285.89812435,,548.0546303160813,53.54295945425815,54.6169370029902,447.9018957608454,52.43407428261088,52.45456640330838,31.086460679524556,dwarf_mw
bootes_4,233.689,43.726,Bootes IV,mw,1,0,7.6,0.8,0.8,3.0,4.0,4.0,0.64,0.05,0.05,,Homma2019PASJ...71...94H,21.6,0.2,0.2,Homma2019PASJ...71...94H,16.26,0.17,0.29,Homma2024PASJ...76..733H,,,,,,,,,0.469,0.244,0.18,0.489,0.255,0.256,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.34,0.17,0.29,4.369029995663982,208.9296130854041,18.38354128907926,20.15715219137337,70.68225012092029,53.30500378820777,49.407168704589864,153.88612569247607,132.39930220349456,207.47691792332935,791.9499495933679,429.83780567008364,207.47691792332935,,,,,,,,,,,,,458.31701472950124,61.878184610590324,66.98547917293104,274.06641835195296,41.521203796051054,44.97764146665929,30.41989103773072,dwarf_mw
bootes_5,213.909,32.914,Bootes V,mw,1,0,0.76,0.07,0.08,18.0,13.0,15.0,0.2,0.1,0.1,,Cerny2023ApJ...953....1C,20.04,0.15,0.15,Cerny2023ApJ...953....1C,16.84,0.3,0.3,Cerny2023ApJ...953....1C,5.1,13.4,13.4,,,,,Smith2023AJ....166...76S,-0.22,0.05,0.05,-0.28,0.07,0.07,Cerny2023ApJ...953....1C,-2.85,0.1,0.1,,,,,Smith2023AJ....166...76S,,,,,,,,,,,,,,,,,,,-2.2,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,-3.1999999999999993,0.3,0.3,3.513029995663981,101.8591388054117,6.798659439783606,7.284894839463789,55.667950206410616,70.9176810721288,4.805944584391978,92.04956355094062,43.34818225615938,100.6785656381115,804.9595051007605,422.5024192699772,100.6785656381115,,,-2.85,0.1,0.1,spectroscopic,81.13568981829624,66.21242630329252,,,,,22.36623865597224,2.6028524269111912,2.822027347136899,19.926645585223465,2.6314936370862902,2.737097151757613,26.867784116949174,dwarf_mw
canes_venatici_1,202.0091,33.5521,Canes Venatici I,mw,1,1,7.12,0.21,0.21,80.0,2.0,2.0,0.44,0.03,0.03,,Munoz2018ApJ...860...66M,21.62,0.06,0.06,Kuehn2008ApJ...674L..81K,12.89,0.06,0.06,Munoz2018ApJ...860...66M,30.9,0.6,0.6,7.6,0.4,0.4,,Simon2007ApJ...670..313S,-0.096,0.031,0.03,-0.116,0.02,0.02,Pace2022ApJ...940..136P,-1.91,0.04,0.04,0.39,0.02,0.03,,Simon2019ARA&A..57..375S,6.7,0.5,0.5,30.9,1.0,1.0,Munoz2018ApJ...860...66M,7.67,0.23,0.23,0.78,0.04,0.04,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.104,Spekkens2014ApJ...795L...5S,,,,,,,,,-8.73,0.06,0.06,5.725029995663982,210.86281499332887,5.7465971107722,5.907595488640766,74.30428311054428,79.82875906695918,16.866912987498328,202.63321705640251,55.842755470658744,210.63110836093347,853.6761021197024,485.7492503275591,210.63110836093347,,3.037208625413844,-1.91,0.04,0.04,spectroscopic,80.92747316544529,61.93280938297603,17497645.225456953,1924753.1504762378,2143442.6576409154,,436.16579893501097,17.347181068334805,17.846299878617913,326.43830673367563,15.70074049346033,15.889095063458456,27.4096170096203,dwarf_mw
canes_venatici_2,194.2927,34.3226,Canes Venatici II,mw,1,1,1.52,0.24,0.24,9.0,15.0,15.0,0.4,0.13,0.13,,Munoz2018ApJ...860...66M,21.02,0.06,0.06,Greco2008ApJ...675L..73G,15.85,0.32,0.32,Munoz2018ApJ...860...66M,-128.9,1.2,1.2,4.6,0.8,0.8,,Simon2007ApJ...670..313S,-0.124,0.115,0.117,-0.254,0.08,0.082,Pace2022ApJ...940..136P,-2.35,0.19,0.16,0.57,0.12,0.15,,Simon2019ARA&A..57..375S,0.89,0.65,0.65,5.37,4.0,4.0,Munoz2018ApJ...860...66M,1.51,0.23,0.23,0.59,0.49,0.49,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.4,Putman2021ApJ...913...53P,-2.98,0.12,0.12,0.55,0.1,0.12,,Fu2023ApJ...958..167F,-5.17,0.32,0.32,4.301029995663981,159.9558028614668,4.359239700959279,4.481369460026087,113.57437620140446,82.70120461244186,18.593874661163607,156.79288319429602,25.614809656937958,160.57350129753075,830.4494527903082,454.9241912048851,160.57350129753075,,3.382235277443026,-2.35,0.19,0.16,spectroscopic,-93.24060237849159,-113.27079220320648,1037383.0272137579,358884.66468918824,496275.16417647107,,70.32695013943979,11.122468066974186,11.306822896145377,54.038420810506864,10.344870140145154,10.645607803059377,27.064126324180314,dwarf_mw
carina_1,100.4065,-50.9593,Carina,mw,1,1,10.1,0.1,0.1,60.0,1.0,1.0,0.36,0.01,0.01,,Munoz2018ApJ...860...66M,20.118,0.111,0.111,Karczmarek2015AJ....150...90K,10.688,0.05,0.05,Munoz2018ApJ...860...66M,222.9,0.1,0.1,6.6,1.2,1.2,,Walker2009AJ....137.3100W,0.532,0.006,0.007,0.127,0.006,0.006,Pace2022ApJ...940..136P,-1.8,0.02,0.02,0.24,,,,Simon2019ARA&A..57..375S,7.97,1.6,1.6,58.4,0.98,0.98,Munoz2018ApJ...860...66M,11.43,0.12,0.12,0.94,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.42,Putman2021ApJ...913...53P,,,,,,,,,-9.429999999999998,0.05,0.05,6.005029995663981,105.58445924300804,5.261577185208139,5.537528133865379,260.1059874835998,-22.219416167741887,-52.85691330071627,-30.633764017226184,-86.11502338207825,107.17678426138207,835.046866129733,451.18173281371963,107.17678426138207,,3.0426245765129645,-1.8,0.02,0.02,spectroscopic,-6.074864253691004,-53.22791711222274,10057533.834591623,3370332.6775371833,4067092.0454925355,,310.0277786989024,15.965140379448371,16.099221599662087,248.11686753386087,13.07747693473064,13.336531984428376,26.1138906128297,dwarf_mw
carina_2,114.1066,-57.9991,Carina II,lmc,1,1,8.69,0.75,0.75,170.0,9.0,9.0,0.34,0.07,0.07,,Torrealba2018MNRAS.475.5085T,17.864,0.023,0.023,Torrealba2018MNRAS.475.5085T,13.29,0.1,0.1,Torrealba2018MNRAS.475.5085T,477.2,1.2,1.2,3.4,0.8,1.2,,Li2018ApJ...857..145L,1.885,0.019,0.018,0.133,0.019,0.019,Pace2022ApJ...940..136P,-2.44,0.09,0.09,0.22,0.07,0.1,,Li2018ApJ...857..145L,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,Putman2021ApJ...913...53P,,,,,,,,,-4.574000000000002,0.1,0.1,4.062629995663982,37.39383436431516,0.39398124702920256,0.3981764318727343,269.9816339557042,-17.13981742085607,-24.192227847961043,-8.058225147701906,-27.351416191618306,38.268160105022204,801.1221979368083,413.4467401750728,18.654523809363628,,2.3751077825463325,-2.44,0.09,0.09,spectroscopic,240.21073840816288,182.88370514023393,812373.9356301201,406850.83092883043,579193.498460423,,94.25989814687802,8.087444822193191,8.257765842429578,76.51535277741172,7.722579164093332,7.690192741877453,28.415353056066934,dwarf_mw
carina_3,114.6298,-57.8997,Carina III,lmc,1,1,3.75,1.0,1.0,150.0,14.0,14.0,0.55,0.18,0.18,,Torrealba2018MNRAS.475.5085T,17.22,0.1,0.1,Torrealba2018MNRAS.475.5085T,14.82,0.2,0.2,Torrealba2018MNRAS.475.5085T,284.6,3.1,3.4,5.6,2.1,4.3,,Li2018ApJ...857..145L,3.095,0.041,0.04,1.395,0.045,0.045,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,Putman2021ApJ...913...53P,,,,,,,,,-2.3999999999999986,0.2,0.2,3.1930299956639807,27.797132677592884,1.25107705783752,1.3100385030731978,270.00599866205437,-16.84583800626676,-18.02011258807879,-5.852071231685328,-20.33984733738057,28.95863322348667,794.7314279836914,406.8492612977843,25.04041150564075,,1.9981626124484948,,,,,47.28586604208476,-10.303223396288956,519513.77303692914,420911.405523506,918999.7120333391,,30.01490327480337,8.016914574513041,8.200302883802411,19.507250501438705,6.570652227673758,7.145505975216331,27.62159311046539,dwarf_mw
centaurus_1,189.5908,-40.9043,Centaurus I,mw,1,1,2.6,0.3,0.3,10.0,4.0,4.0,0.36,0.05,0.05,,Casey2025ApJ...984..148C,20.354,0.07,0.07,MartinezVazquez2021AJ....162..253M,15.0,0.19,0.19,Casey2025ApJ...984..148C,44.8,0.8,0.8,4.2,0.5,0.6,,Heiger2024ApJ...961..234H,-0.14,0.05,0.05,-0.19,0.04,0.04,Heiger2024ApJ...961..234H,-2.57,0.08,0.08,0.38,0.05,0.07,,Heiger2024ApJ...961..234H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.353999999999999,0.19,0.19,4.374629995663981,117.70637907805695,3.7338986760820916,3.856226445680889,300.26978831972986,21.899855054670926,-104.38428920122827,47.17101403589431,-27.085185590042126,114.13375404922058,893.940895565159,505.7952450398212,114.13375404922058,,,-2.57,0.08,0.08,spectroscopic,-143.07330612583678,-223.39728326364798,1150114.1574343871,300051.5388525744,381208.1548301503,,88.60223778426976,10.45664776391068,10.802165527487361,70.97392206926465,8.878536488008095,8.876254587446283,27.472106925444727,dwarf_mw
cetus_2,19.47,-17.42,Cetus II,mw,1,0,1.9,0.5,1.0,,,,,,,0.4,DrlicaWagner2015ApJ...813..109D,17.38,0.19,0.19,DrlicaWagner2015ApJ...813..109D,17.38,0.68,0.68,DrlicaWagner2015ApJ...813..109D,,,,,,,,,2.844,0.059,0.061,0.474,0.063,0.064,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,,,,,,,,,0.0,0.68,0.68,2.233029995663981,29.922646366081892,2.5069046468030827,2.7361368511517057,156.4654632557011,-78.53133931090727,5.622200411779656,-28.932719721357955,-5.162688989734004,32.40272969033092,761.3815419478664,373.6858942755074,32.40272969033092,,2.102326536498708,,,,,,,,,,,16.217100485360696,6.439010254893317,6.7987507646190615,16.217100485360696,6.439010254893317,6.7987507646190615,29.620478988032595,dwarf_mw
cetus_3,31.331,-4.27,Cetus III,mw,0,0,1.23,0.19,0.42,101.0,6.0,5.0,0.76,0.08,0.06,,Homma2018PASJ...70S..18H,22.0,0.2,0.2,Homma2024PASJ...76..733H,18.55,0.43,0.49,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,Putman2021ApJ...913...53P,,,,,,,,,-3.4499999999999993,0.43,0.49,3.613029995663981,251.1886431509582,22.10187787418073,24.23422718285812,163.81024062054243,-61.13325565779337,108.58272856616414,-212.69632832839187,-77.88322939354092,255.0557687367817,641.3039438036511,294.16455642446357,255.0557687367817,,3.928050141787556,,,,,,,,,,,88.48149369462196,22.776912717656472,24.481142276520714,42.654511373322066,12.702989535110419,13.638660562659659,28.270437997580796,dwarf_mw
columba_1,82.85696,-28.04253,Columba I,mw,1,1,2.2,0.2,0.2,24.0,9.0,9.0,0.3,0.1,0.1,,Carlin2017AJ....154..267C,21.31,0.11,0.11,Carlin2017AJ....154..267C,17.11,0.2,0.2,Carlin2017AJ....154..267C,153.7,4.9,4.9,,,,6.7,Fritz2019A&A...623A.129F,0.169,0.073,0.071,-0.4,0.079,0.079,Pace2022ApJ...940..136P,-2.37,0.34,0.35,0.71,0.24,0.49,,Fritz2019A&A...623A.129F,2.1,0.6,0.6,8.9,2.5,2.5,Carlin2017AJ....154..267C,,,,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,,,,,,,,,-4.199999999999999,0.2,0.2,3.9130299956639814,182.8100216142741,9.029938739336473,9.499151276741685,231.63329216294056,-28.8854683918113,-11.899287986569266,-70.2000621123535,-168.37417327917524,187.3481818010009,816.2960862638946,446.34101550674166,187.3481818010009,,3.715719221656932,-2.37,0.34,0.35,spectroscopic,-25.675280817689696,-42.797202788384624,,,,4086301.1699252664,116.47924809512332,11.899160367006118,12.28858115013901,97.3422271655489,12.312520881852862,12.323825260712539,29.312119349663938,dwarf_mw
coma_berenices_1,186.7454,23.9069,Coma Berenices,mw,1,1,5.64,0.3,0.3,-57.0,4.0,4.0,0.37,0.05,0.05,,Munoz2018ApJ...860...66M,18.13,0.08,0.08,Musella2009ApJ...695L..83M,13.84,0.25,0.25,Munoz2018ApJ...860...66M,98.1,0.9,0.9,4.6,0.8,0.8,,Simon2007ApJ...670..313S,0.423,0.027,0.026,-1.721,0.024,0.024,Pace2022ApJ...940..136P,-2.43,0.11,0.11,0.46,0.08,0.09,,Simon2019ARA&A..57..375S,4.25,0.73,0.73,26.1,3.9,3.9,Munoz2018ApJ...860...66M,5.63,0.3,0.3,0.93,0.12,0.12,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.14,Spekkens2014ApJ...795L...5S,,,,,,,,,-4.289999999999999,0.25,0.25,3.949029995663981,42.26686142656025,1.5288336461489394,1.5862083509382714,241.8639280768835,83.61228445559442,-1.1769134922369748,42.25035726296336,0.09879593003971764,43.45660826522546,794.8535406441251,407.5908507270303,43.45660826522546,,1.770303321793301,-2.43,0.11,0.11,spectroscopic,81.05939189619929,46.17488858055274,1076181.7262929427,346774.3179894858,421800.08493995876,,69.14340712657881,4.351840336757036,4.610344603000499,54.94140322274969,4.192718916902955,4.121272273747387,27.980110675329144,dwarf_mw
crater_2,177.31,-18.413,Crater II,mw,1,1,31.2,2.5,2.5,,,,,,,0.1,Torrealba2016MNRAS.459.2370T,20.333,0.07,0.07,Torrealba2016MNRAS.459.2370T,12.15,0.1,0.1,Torrealba2016MNRAS.459.2370T,89.3,0.3,0.3,2.34,0.3,0.42,,Ji2021ApJ...921...32J,-0.072,0.02,0.02,-0.112,0.013,0.013,Pace2022ApJ...940..136P,-2.16,0.04,0.04,0.24,0.05,0.05,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,Putman2021ApJ...913...53P,,,,,,,,,-8.182999999999998,0.1,0.1,5.506229995663981,116.5735440441268,3.6979627203032237,3.819113177473838,282.90842144187576,42.027640559065524,-71.39675101767875,82.96429011416014,-40.11011943364163,115.50381326711188,882.8492363483955,495.8255161350187,115.50381326711188,,3.464416678436156,-2.16,0.04,0.04,spectroscopic,-81.17731570047432,-156.12479598567523,5361018.899732329,1569066.045688266,1865465.612964346,,1054.211326577475,89.31336507677122,92.56337102304474,1054.211326577475,89.31336507677122,92.56337102304474,30.502192358770618,dwarf_mw
draco_1,260.0684,57.9185,Draco,mw,1,1,9.67,0.09,0.09,87.0,1.0,1.0,0.29,0.01,0.01,,Munoz2018ApJ...860...66M,19.557,0.04,0.04,Bhardwaj2024AJ....167..247B,10.69,0.05,0.05,Munoz2018ApJ...860...66M,-290.7,0.75,0.75,9.1,1.2,1.2,,Walker2015MNRAS.448.2717W,0.044,0.006,0.005,-0.188,0.006,0.006,Pace2022ApJ...940..136P,-2.0,0.02,0.02,0.34,0.02,0.02,,Simon2019ARA&A..57..375S,6.62,0.15,0.15,48.1,1.3,1.3,Munoz2018ApJ...860...66M,9.93,0.09,0.09,0.96,0.02,0.02,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.098,Spekkens2014ApJ...795L...5S,,,,,,,,,-8.866999999999999,0.05,0.05,5.779829995663981,81.54550000611157,1.4883731125754025,1.5160440346806183,86.3710883420375,34.71264119739901,42.18553300262567,40.420319246353344,56.888023067724866,81.52739842916696,745.8263454520634,361.6582977026948,81.52739842916696,,2.1862013618075578,-2.0,0.02,0.02,spectroscopic,-84.11549851541383,-45.859932694131544,14880604.553591877,3691723.3654136695,4225863.166720238,,229.23610157410903,4.605352743358196,4.783990564295266,193.2220759612257,4.187278363705843,4.262054412013725,26.13389281722681,dwarf_mw
draco_2,238.1983333,64.56527778,Draco II,mw,1,,3.0,0.5,0.7,76.0,32.0,22.0,0.23,0.15,0.15,,Longeard2018MNRAS.480.2609L,16.67,0.05,0.05,Longeard2018MNRAS.480.2609L,15.87,1.0,0.4,Longeard2018MNRAS.480.2609L,-342.5,1.2,1.1,,,,5.9,Longeard2018MNRAS.480.2609L,1.027,0.065,0.067,0.887,0.072,0.072,Pace2022ApJ...940..136P,-2.7,0.1,0.1,,,,,Longeard2018MNRAS.480.2609L,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.72,0.11,0.1,0.4,0.12,0.12,,Fu2023ApJ...958..167F,-0.8000000000000025,1.0,0.4,2.5530299956639824,21.57744409152669,0.49116259219380254,0.5026032386623207,98.29423510504375,42.8799852103977,12.27470056662259,13.496307716140459,11.522477925948158,23.84542566256236,768.359571485389,380.47760589443845,23.84542566256236,,,-2.7,0.1,0.1,spectroscopic,-160.4811357502988,-127.49032673865631,,,,534908.7552215105,18.69683367927167,3.7202488047831963,3.813900645546937,16.100178159934142,3.519541626018567,3.6062081338874883,28.804766168236235,dwarf_mw
eridanus_2,56.0925,-43.5329,Eridanus II,mw,1,1,2.31,0.12,0.12,72.6,3.3,3.3,0.48,0.04,0.04,,Crnojevic2016ApJ...824L..14C,22.84,0.05,0.05,MartinezVazquez2021MNRAS.508.1064M,15.72,0.3,0.3,Crnojevic2016ApJ...824L..14C,75.6,1.3,1.3,6.9,0.9,1.2,,Li2017ApJ...838....8L,0.125,0.1,0.101,0.013,0.127,0.123,Pace2022ApJ...940..136P,-2.38,0.13,0.13,0.47,0.9,0.12,,Li2017ApJ...838....8L,,,,,,,,1.81,0.17,0.17,0.77,0.19,0.19,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.089,Crnojevic2016ApJ...824L..14C,-2.63,0.06,0.06,0.26,0.09,0.08,,Fu2023ApJ...958..167F,-7.119999999999999,0.3,0.3,5.0810299956639815,369.8281797802659,8.418317140652732,8.614404936827668,249.78016963852457,-51.643133404723166,-87.49319553645623,-264.8866340149693,-242.80217135483718,371.6548480617636,883.4615876645317,554.9587474252926,371.6548480617636,,3.457565292759976,-2.38,0.13,0.13,spectroscopic,-76.28406596765933,-86.88792695547389,7882930.424207453,2245977.0019314094,2707361.3136513233,,247.96749249416462,13.848333689975448,14.259079234592491,178.94737299613195,12.380204844394882,12.00171513978745,27.714239628543776,dwarf_mw
