key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,table
ic_2574_gc-07,157.1625,68.405719,IC 2574-07,ic_2574,1,,0.010166666666666666,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.13,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.84,,,5.369029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.1903386156444,43.62875022632323,2838.622568159965,2708.1118192173208,159.23824805593785,3930.971192130256,3699.608257382118,3794.9262625997603,1.888788177680683,,,,,,,,,,,,,11.611937826505836,,,11.611937826505836,,,21.055136671211066,gc_dwarf_hosted
ic_2574_gc-08,157.129167,68.447192,IC 2574-08,ic_2574,1,,0.0018333333333333333,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.13,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.84,,,5.369029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.16103098474713,43.59106828196878,2840.4727593398165,2706.1031519886546,160.38941280850796,3930.972094223748,3699.0429680188618,3794.6507449466926,2.323653107537154,,,,,,,,,,,,,2.0939560015010525,,,2.0939560015010525,,,17.335450921954482,gc_dwarf_hosted
ic_2574_gc-09,157.116667,68.463481,IC 2574-09,ic_2574,1,,0.006333333333333333,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.33,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.640000000000001,,,5.289029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.14930762779005,43.57642969324381,2841.1918230235733,2705.3206140255875,160.8537522339587,3930.9724209549067,3698.822320266847,3794.5432089394076,3.3079831085276385,,,,,,,,,,,,,7.233666187003637,,,7.233666187003637,,,20.227405479245157,gc_dwarf_hosted
ic_2574_gc-10,157.170833,68.460686,IC 2574-10,ic_2574,1,,0.0016666666666666668,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.33,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.640000000000001,,,5.289029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.1329459213528,43.59263992743338,2840.46611872384,2706.0270189266885,161.7854465525503,3930.9701307634705,3698.97424787888,3794.6172527881376,3.6359485000199836,,,,,,,,,,,,,1.903596365000957,,,1.903596365000957,,,17.32848749616339,gc_dwarf_hosted
ic_2574_gc-11,156.8875,68.370072,IC 2574-11,ic_2574,1,,0.0011666666666666668,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.43,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.539999999999999,,,5.249029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.32289774097384,43.58062243274363,2840.5630930566876,2706.4738834150667,152.3317506363594,3930.983495427235,3699.4241587957117,3794.836531959109,6.066210493311528,,,,,,,,,,,,,1.3325174555006698,,,1.3325174555006698,,,16.65397769623477,gc_dwarf_hosted
ic_2574_gc-12,156.941667,68.360358,IC 2574-12,ic_2574,1,,0.008,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.63,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.34,,,5.169029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.31347429723053,43.601755590693266,2839.589895108567,2707.459366282124,152.96253470722553,3930.981290515916,3699.6592308052414,3794.951107745141,5.397232525474047,,,,,,,,,,,,,9.137262552004593,,,9.137262552004593,,,21.034693683037577,gc_dwarf_hosted
ic_2574_gc-13,156.95,68.360886,IC 2574-13,ic_2574,1,,0.005833333333333333,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.63,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.34,,,5.169029995663982,3926.449353995993,35.997904053187995,36.33098855840035,140.31000774861357,43.603604943189,2839.5114354804823,2707.5311766828845,153.14785196439874,3930.9809245639603,3699.6714187666234,3794.957048349057,5.224234323507045,,,,,,,,,,,,,6.662587277503349,,,6.662587277503349,,,20.348827717912854,gc_dwarf_hosted
ic_2574_gc-14,156.970833,68.37115,IC 2574-14,ic_2574,1,,0.006999999999999999,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.73,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.239999999999998,,,5.129029995663981,3926.449353995993,35.997904053187995,36.33098855840035,140.29243964638462,43.60202402974682,2839.6306364672114,2707.357776812383,154.00079956245148,3930.979892759393,3699.5958533945463,3794.920216762122,4.3532162799598515,,,,,,,,,,,,,7.995104733004018,,,7.995104733004018,,,20.844733948150072,gc_dwarf_hosted
ic_2574_gc-15,157.166667,68.413322,IC 2574-15,ic_2574,1,,0.0085,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,20.83,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.140000000000001,,,5.0890299956639815,3926.449353995993,35.997904053187995,36.33098855840035,140.18132775769993,43.62455338634659,2838.8427234582978,2707.8568275475545,159.6493735268359,3930.9709157180655,3699.527175339564,3794.8867424830705,1.8662694960601685,,,,,,,,,,,,,9.708341461504881,,,9.708341461504881,,,21.36633837664882,gc_dwarf_hosted
ic_2574_gc-16,157.008333,68.381775,IC 2574-16,ic_2574,1,,0.0045000000000000005,,,,,,,,,,Karim2024MNRAS.530.4936K,27.97,0.02,0.02,Tully2009AJ....138..323T,21.13,,,Karim2024MNRAS.530.4936K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.84,,,4.969029995663981,3926.449353995993,35.997904053187995,36.33098855840035,140.2686325838478,43.60460402283091,2839.5688458010814,2707.354464287236,155.19376326202186,3930.9781391181136,3699.552758378909,3794.8992118430488,3.1723218561664233,,,,,,,,,,,,,5.139710185502585,,,5.139710185502585,,,20.285306316957257,gc_dwarf_hosted
