Table 2 
Velocity Measurements for all Stars


ID	MJD ^a	R.A.	Decl.	g ^b	r ^b	S/N	v	MEM	
		(deg)	(deg)	(mag)	(mag)		(km s^-1)		
DES J225602.84-500414.7	58762.03	344.01186	-50.07076	21.48	21.06	2.6	144.89 +or- 5.46	NM	
DES J225619.00-500427.2	58762.03	344.0792	-50.07423	18.52	18.02	34.99	-22.89 +or- 1.15	NM	
DES J225633.63-500426.1	58762.03	344.14012	-50.07393	21.98	20.55	12.11	-6.86 +or- 1.67	NM	
DES J225626.96-500445.3	58762.03	344.11236	-50.07927	21.77	20.68	5.73	-52.27 +or- 4.14	NM	
DES J225615.78-500452.8	58762.03	344.06578	-50.08134	21.23	20.9	2.82	-48.25 +or- 4.49	NM	
DES J225601.68-500459.2	58762.03	344.00702	-50.08312	22.33	20.69	15.95	-5.16 +or- 1.46	NM	
DES J225603.76-500524.5	58762.03	344.0157	-50.09014	20.94	20.31	5.53	-141.21 +or- 1.67	M	
DES J225624.48-500540.8	58762.03	344.10202	-50.09468	22.19	20.61	17.33	8.0 +or- 1.47	NM	
DES J225638.97-500542.4	58762.03	344.1624	-50.09511	20.02	19.43	14.25	20.45 +or- 1.82	NM	
DES J225644.70-500559.7	58762.03	344.18625	-50.09993	21.95	20.63	11.68	35.89 +or- 1.96	NM	
DES J225608.69-500603.8	58762.03	344.03622	-50.10107	19.66	19.19	14.54	50.85 +or- 1.65	NM	
DES J225628.96-500601.9	58762.03	344.12068	-50.10054	20.97	20.0	9.75	89.51 +or- 1.83	NM	
DES J225613.54-500603.5	58762.03	344.05645	-50.10099	21.05	19.92	14.86	-19.48 +or- 1.48	NM	
DES J225613.72-500616.4	58762.03	344.05718	-50.10458	16.59	16.75	52.03	156.24 +or- 1.25	NM	
DES J225649.23-501031.4	58762.03	344.20513	-50.17539	20.79	20.22	6.91	-142.47 +or- 1.83	M	
DES J225603.42-500617.4	58762.03	344.01426	-50.10483	19.07	18.68	19.51	58.47 +or- 1.25	NM	
DES J225601.57-500623.0	58762.03	344.00655	-50.1064	21.35	19.93	18.73	76.15 +or- 1.32	NM	
DES J225617.16-500621.4	58762.03	344.0715	-50.10596	22.54	21.44	2.8	6.05 +or- 9.32	NM	
DES J225555.38-500642.3	58762.03	343.98078	-50.11175	18.55	17.68	44.28	-70.77 +or- 1.14	NM	
DES J225626.51-500651.4	58762.03	344.11047	-50.1143	19.98	18.53	51.53	11.07 +or- 1.12	NM	
DES J225616.50-500651.2	58762.03	344.06877	-50.11425	21.05	20.64	3.98	142.27 +or- 3.55	NM	
DES J225653.50-500716.3	58762.03	344.22292	-50.12122	21.28	20.22	8.67	27.15 +or- 2.49	NM	
DES J225657.01-500740.7	58762.03	344.23755	-50.12799	18.09	17.65	43.95	-49.15 +or- 1.17	NM	
DES J225644.73-500749.0	58762.03	344.1864	-50.1303	21.99	20.7	7.64	98.16 +or- 2.55	NM	
Notes.
^a The midpoint MJD of observation.
^b Quoted magnitudes represent the weighted-average dereddened PSF magnitude derived from the DES DR2 catalog (Flaugher et al. 2015; Morganson et al. 2018; Abbott et al. 2021).
^c NM indicates nonmembers, CM indicates candidate members (stars with consistent radial velocity, but no derived metallicity), M indicates members (see Section 3.3).
