Table 2 
Target List


ID	R. A. (J2000)	decl. (J2000)	g_0	${(g-r)}_{0}$	${(g-I)}_{0}$	S/N^a	${v}_{\mathrm{helio}}$	Member?	${T}_{\mathrm{eff}}$	$\mathrm{log}g$	[Fe/H]	
			(mag)	(mag)	(mag)	(Aring^-1)	(km s^-1)		(K)	(cm s^-2)		
Hydra II												
												
302	11 36 13.55	-10 53 02.9	20.94	 ... 	1.29	20	149.8 +or- 2.9	Y	4977	1.53	-1.59 +or- 0.15	
374	11 36 13.76	-10 52 48.5	19.90	 ... 	1.32	68	151.9 +or- 1.7	Y	4966	1.09	-1.66 +or- 0.11	
420	11 36 13.90	-10 52 27.3	19.44	 ... 	1.59	105	149.8 +or- 1.5	Y	4626	0.69	-1.55 +or- 0.11	
378	11 36 14.53	-10 52 43.7	21.55	 ... 	1.22	19	153.5 +or- 3.1	Y	 ... 	 ... 	 ... 	
93	11 36 15.91	-10 52 43.6	19.68	 ... 	1.52	88	147.2 +or- 1.6	Y	4726	0.84	-1.65 +or- 0.11	
1710	11 36 16.52	-10 52 46.7	19.44	 ... 	1.31	16	143.6 +or- 4.5	Y	 ... 	 ... 	 ... 	
1715	11 36 16.59	-10 52 46.2	18.91	 ... 	0.85	66	72.0 +or- 1.8	N	 ... 	 ... 	 ... 	
367	11 36 16.89	-10 52 43.7	22.54	 ... 	1.14	8	153.8 +or- 10.0	Y	 ... 	 ... 	 ... 	
1717	11 36 17.26	-10 52 46.2	18.99	 ... 	0.70	47	266.0 +or- 2.2	N	 ... 	 ... 	 ... 	
1972	11 36 17.70	-10 52 08.0	22.17	 ... 	1.04	10	141.4 +or- 4.7	Y	 ... 	 ... 	 ... 	
1997	11 36 18.37	-10 52 00.7	22.60	 ... 	1.07	6	166.6 +or- 11.5	N	 ... 	 ... 	 ... 	
1684	11 36 18.59	-10 52 49.7	21.23	 ... 	1.23	21	150.9 +or- 3.1	Y	5064	1.70	-2.10 +or- 0.21	
399	11 36 19.58	-10 52 37.1	19.15	 ... 	0.70	80	155.3 +or- 1.8	N	 ... 	 ... 	 ... 	
963	11 36 20.11	-10 52 38.2	18.90	 ... 	1.87	150	149.2 +or- 1.5	Y	4331	0.23	-1.78 +or- 0.11	
Notes.
^a To convert to S/N per pixel, multiply by 0.57.
^b Non-member based on CMD position.
