# %ECSV 1.0
# ---
# datatype:
# - name: Target
#   datatype: string
#   description: Target identification; Galaxy-ID number
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {_votable_string_dtype: char}
# - name: Field
#   datatype: string
#   description: Field and spectrograph channel (B=blue, R=red)
#   meta: !!omap
#   - {ucd: ID_FIELD}
#   - {_votable_string_dtype: char}
# - name: HJD
#   unit: d
#   datatype: float64
#   format: '{:8.3f}'
#   description: Heliocentric Julian Date minus 2450000 of obs.
#   meta: !!omap
#   - {ucd: TIME_DATE}
#   - {width: 8}
#   - {precision: '3'}
# - name: HV
#   unit: km / s
#   datatype: float32
#   format: '{:6.1f}'
#   description: Heliocentric rest frame velocity
#   meta: !!omap
#   - {ucd: VELOC_HC}
#   - {width: 6}
#   - {precision: '1'}
# - name: e_HV
#   unit: km / s
#   datatype: float32
#   format: '{:4.1f}'
#   description: Uncertainty in HV
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 4}
#   - {precision: '1'}
# - name: SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Fe spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigFe ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Mg spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigMg ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: Mmb
#   datatype: float32
#   format: '{:6.3f}'
#   description: '? Probability membership'
#   meta: !!omap
#   - {ucd: CODE_MEMB}
#   - {width: 6}
#   - {precision: '3'}
#   - values: {'null': .nan}
# meta: !!omap
# - {ID: J_AJ_137_3100_tables}
# - {name: J/AJ/137/3100/tables}
# - {description: Combined table from original tables}
# schema: astropy-2.0
Target Field HJD HV e_HV SigFe e_SigFe SigMg e_SigMg Mmb
Car-1861 1B 4557.518 211.7 4.2 "" "" 0.39 0.11 1.0
Car-1862 1B 4557.518 226.6 1.8 "" "" 0.45 0.08 1.0
Car-1863 1B 4557.518 227.0 5.3 "" "" 0.18 0.1 1.0
Car-1864 1B 4557.518 222.9 4.4 "" "" 0.23 0.11 1.0
Car-1865 1B 4557.518 310.0 4.8 "" "" 0.51 0.14 0.0
Car-1866 1B 4557.518 23.7 4.8 "" "" 0.33 0.11 0.0
Car-1867 1B 4557.518 228.0 5.3 "" "" 0.36 0.09 1.0
Car-1868 1B 4557.518 220.1 4.3 "" "" 0.4 0.09 1.0
Car-1869 1B 4557.518 220.4 3.7 "" "" 0.5 0.07 1.0
Car-1869 1B 4560.511 225.9 4.4 0.23 0.06 0.32 0.12 ""
Car-1870 1B 4557.518 231.6 4.7 "" "" 0.06 0.21 1.0
Car-1871 1R 4557.518 -107.3 6.6 "" "" "" "" 0.0
Car-1872 1R 4557.518 1.1 7.4 0.26 0.07 0.78 0.1 0.0
Car-1872 1R 4560.511 9.0 1.8 0.32 0.05 0.68 0.1 ""
Car-1873 1R 4557.518 221.7 7.4 0.23 0.26 0.55 0.25 0.998
Car-1874 1R 4557.518 227.5 8.5 0.31 0.19 0.59 0.27 1.0
Car-1874 1R 4560.511 223.2 6.3 0.25 0.13 0.48 0.15 ""
Car-1875 1R 4557.518 175.5 8.3 "" "" "" "" 0.005
Car-1876 1R 4557.518 289.9 10.4 0.27 0.19 0.41 0.31 0.002
Car-1877 1R 4557.518 41.5 6.9 0.54 0.1 0.63 0.18 0.0
Car-1878 1R 4557.518 13.1 3.7 0.34 0.08 0.74 0.12 0.0
Car-1878 1R 4560.511 20.6 1.0 0.29 0.04 0.85 0.1 ""
Car-1879 1R 4557.518 217.9 9.9 0.57 0.1 0.52 0.21 1.0
Car-1879 1R 4560.511 225.8 5.8 0.18 0.07 0.37 0.11 ""
Car-1880 1R 4557.518 228.7 9.4 0.31 0.08 0.41 0.15 1.0
Car-1881 1R 4557.518 235.8 8.2 0.24 0.08 0.31 0.14 1.0
Car-1882 1R 4557.518 218.2 1.4 0.35 0.04 0.38 0.1 1.0
Car-1882 1R 4560.511 218.2 1.1 0.37 0.02 0.48 0.08 ""
Car-1883 1R 4557.518 217.4 10.6 0.27 0.16 0.48 0.27 0.998
Car-1884 1R 4557.518 239.3 10.5 0.45 0.13 0.44 0.28 0.999
Car-1885 1R 4557.518 83.8 2.9 0.33 0.06 0.59 0.11 0.0
Car-1885 1R 4560.511 83.5 2.8 0.3 0.04 0.57 0.1 ""
Car-1886 1R 4557.518 -65.0 10.9 0.5 0.13 0.6 0.18 0.0
Car-1887 1R 4557.518 213.3 5.6 0.59 0.07 0.55 0.21 0.999
Car-1888 1R 4557.518 162.2 9.3 0.28 0.21 0.47 0.22 0.0
Car-1889 1R 4557.518 -9.5 2.6 0.36 0.07 0.6 0.12 0.0
Car-1890 1R 4557.518 292.2 7.8 0.63 0.15 0.44 0.47 0.0
Car-1891 1R 4557.518 223.3 4.6 0.29 0.08 0.3 0.16 1.0
Car-1891 1R 4560.511 219.8 2.0 0.34 0.04 0.36 0.09 ""
Car-1892 1R 4557.518 197.0 4.3 0.38 0.09 0.41 0.16 0.972
Car-1892 1R 4560.511 197.2 5.4 0.38 0.06 0.38 0.13 ""
Car-1893 1R 4557.518 82.5 6.4 0.25 0.19 0.53 0.3 0.0
Car-1894 1B 4560.511 219.8 2.6 "" "" 0.49 0.08 1.0
Car-1895 1B 4560.511 -88.9 2.7 "" "" 0.46 0.17 0.0
Car-1896 1B 4560.511 226.4 2.4 "" "" 0.38 0.1 1.0
Car-1897 1B 4560.511 216.1 2.4 "" "" 0.44 0.08 1.0
Car-1898 1B 4560.511 221.7 2.6 0.38 0.05 0.3 0.12 1.0
Car-1899 1B 4560.511 214.2 1.5 "" "" 0.52 0.07 1.0
Car-1900 1B 4560.511 220.7 3.2 "" "" 0.5 0.09 1.0
Car-1901 1B 4560.511 232.8 3.2 0.31 0.05 0.62 0.08 0.996
Car-1902 1B 4560.511 225.7 5.4 "" "" 0.5 0.11 1.0
Car-1903 1B 4560.511 229.2 3.4 0.27 0.05 0.55 0.09 0.999
Car-1904 1B 4560.511 216.8 4.5 0.32 0.05 0.25 0.14 1.0
Car-1905 1B 4560.511 218.1 3.6 "" "" 0.34 0.09 1.0
Car-1906 1B 4560.511 233.3 3.8 0.02 0.11 0.23 0.17 1.0
Car-1907 1B 4560.511 222.1 3.1 -0.1 0.14 0.53 0.08 1.0
Car-1908 1B 4560.511 214.7 2.1 "" "" 0.56 0.11 0.997
Car-1909 1B 4560.511 5.5 3.8 "" "" 0.48 0.11 0.0
Car-1910 1B 4560.511 -85.1 2.0 "" "" 0.46 0.15 0.0
Car-1911 1B 4560.511 216.2 1.4 "" "" 0.44 0.08 1.0
Car-1912 1B 4560.511 216.3 4.2 "" "" 0.25 0.12 1.0
Car-1913 1B 4560.511 214.9 2.8 "" "" 0.27 0.08 1.0
Car-1914 1B 4560.511 218.7 4.2 "" "" 0.17 0.12 1.0
Car-1915 1B 4560.511 229.8 3.3 0.47 0.04 0.7 0.08 0.929
Car-1916 1B 4560.511 228.2 3.5 "" "" 0.33 0.09 1.0
Car-1917 1B 4560.511 221.0 1.3 "" "" 0.4 0.08 1.0
Car-1918 1B 4560.511 216.5 2.9 -0.01 0.08 0.67 0.09 0.971
Car-1919 1B 4560.511 225.4 2.3 "" "" 0.31 0.08 1.0
Car-1920 1B 4560.511 211.2 3.2 "" "" 0.56 0.16 0.995
Car-1921 1B 4560.511 230.1 2.2 "" "" 0.35 0.09 1.0
Car-1922 1B 4560.511 211.6 3.7 "" "" 0.26 0.13 1.0
Car-1923 1B 4560.511 218.3 2.0 0.36 0.05 0.44 0.1 1.0
Car-1924 1B 4560.511 216.5 2.7 "" "" 0.35 0.11 1.0
Car-1925 1B 4560.511 215.8 2.0 "" "" 0.4 0.1 1.0
Car-1926 1B 4560.511 219.6 3.3 "" "" 0.4 0.1 1.0
Car-1927 1B 4560.511 211.2 2.4 "" "" 0.38 0.09 1.0
Car-1928 1B 4560.511 211.5 1.6 "" "" 0.31 0.1 1.0
Car-1929 1B 4560.511 225.9 2.1 "" "" 0.51 0.09 0.999
Car-1930 1B 4560.511 229.4 2.4 "" "" 0.39 0.12 1.0
Car-1931 1B 4560.511 234.2 3.3 "" "" 0.39 0.1 1.0
Car-1932 1B 4560.511 223.8 5.0 "" "" 0.33 0.11 1.0
Car-1933 1B 4560.511 222.4 2.0 "" "" 0.39 0.08 1.0
Car-1934 1B 4560.511 205.8 4.4 "" "" 0.11 0.63 0.96
Car-1935 1B 4560.511 214.6 0.7 "" "" "" "" 0.996
Car-1936 1B 4560.511 216.5 4.2 "" "" 0.24 0.1 1.0
Car-1937 1B 4560.511 225.8 2.6 "" "" 0.54 0.09 1.0
Car-1938 1B 4560.511 222.3 2.4 0.25 0.05 0.36 0.1 1.0
Car-1939 1R 4560.511 221.9 5.6 0.39 0.09 0.32 0.19 1.0
Car-1940 1R 4560.511 142.1 5.1 0.34 0.07 0.21 0.17 0.0
Car-1941 1R 4560.511 65.2 6.6 "" "" 0.4 0.21 0.0
Car-1942 1R 4560.511 223.4 2.7 0.36 0.03 0.3 0.09 1.0
Car-1943 1R 4560.511 -88.4 7.2 0.43 0.17 0.21 0.49 0.0
Car-1944 1R 4560.511 -40.4 8.8 "" "" 0.08 0.49 0.0
Car-1945 1R 4560.511 219.5 6.2 0.36 0.05 0.42 0.11 1.0
Car-1946 1R 4560.511 230.3 2.4 0.28 0.04 0.29 0.1 1.0
Car-1947 1R 4560.511 229.8 9.5 0.49 0.06 0.42 0.16 0.999
Car-1948 1R 4560.511 220.6 5.2 0.56 0.04 0.35 0.15 1.0
Car-1949 1R 4560.511 -71.1 1.3 0.24 0.03 0.71 0.09 0.0
Car-1950 1R 4560.511 74.4 7.9 0.48 0.08 0.4 0.2 0.0
Car-1951 1R 4560.511 -10.9 6.3 "" "" 0.69 0.18 0.0
Car-1952 1R 4560.511 156.8 7.3 "" "" -0.15 0.76 0.0
Car-1953 1R 4560.511 210.9 11.8 0.44 0.06 0.32 0.15 1.0
Car-1954 1R 4560.511 223.4 5.2 0.32 0.05 0.33 0.12 1.0
Car-1955 1R 4560.511 40.6 1.4 0.37 0.02 0.76 0.09 0.0
Car-1956 1R 4560.511 58.4 3.8 0.59 0.08 0.67 0.28 0.0
Car-1957 1R 4560.511 2.8 2.1 0.33 0.08 0.82 0.11 0.0
Car-1958 1R 4560.511 228.6 8.8 "" "" 0.27 0.48 0.999
Car-1959 1R 4560.511 219.0 5.5 0.48 0.09 0.32 0.22 1.0
Car-1960 1R 4560.511 219.3 7.3 0.44 0.07 0.49 0.14 0.999
Car-1961 1R 4560.511 221.3 2.2 0.41 0.04 0.48 0.1 1.0
Car-1962 1R 4560.511 300.1 8.5 "" "" "" "" 0.0
Car-1963 1R 4560.511 83.6 6.2 "" "" 0.7 0.3 0.0
Car-1964 1R 4560.511 229.1 7.5 0.28 0.09 0.56 0.14 0.998
Car-1965 1R 4560.511 100.4 2.7 0.04 0.28 0.79 0.17 0.0
Car-1966 1R 4560.511 124.6 4.1 0.34 0.07 0.64 0.12 0.0
Car-1967 1R 4560.511 211.2 4.2 0.37 0.07 0.42 0.14 0.999
Car-1968 1R 4560.511 118.0 6.4 0.44 0.08 0.92 0.12 0.0
Car-1969 1R 4560.511 195.0 6.2 0.32 0.07 0.53 0.12 0.851
Car-1970 1R 4560.511 217.2 4.0 0.34 0.09 0.42 0.15 1.0
Car-1971 1R 4560.511 221.0 4.7 0.31 0.09 0.43 0.16 1.0
Car-1972 1R 4560.511 14.5 3.5 0.39 0.09 0.76 0.13 0.0
Car-1973 1R 4560.511 226.2 2.6 0.43 0.06 0.44 0.13 1.0
Car-1974 1R 4560.511 217.0 10.7 0.32 0.07 0.45 0.13 0.999
Car-1975 1R 4560.511 216.1 3.1 0.41 0.07 0.44 0.13 0.999
Car-1976 1R 4560.511 227.8 9.5 0.12 0.2 0.5 0.23 0.998
Car-1977 1R 4560.511 53.0 1.2 0.32 0.05 0.85 0.1 0.0
Car-1978 1R 4560.511 228.3 4.7 0.34 0.1 0.54 0.15 0.999
Car-1979 1R 4560.511 223.0 5.1 0.26 0.12 0.44 0.15 1.0
Car-1980 1R 4560.511 215.8 3.3 0.35 0.04 0.39 0.1 1.0
Car-1981 1R 4560.511 228.8 5.4 0.42 0.05 0.39 0.13 1.0
Car-1982 1R 4560.511 45.3 1.9 0.3 0.07 0.94 0.1 0.0
For-0001 15B 3287.826 51.4 0.4 0.51 0.02 0.65 0.05 0.996
For-0002 15B 3287.826 56.8 0.5 0.51 0.02 0.59 0.05 0.997
For-0003 15B 3287.826 53.4 0.4 0.5 0.03 0.59 0.07 0.995
For-0004 15B 3287.826 64.3 0.6 0.56 0.03 0.82 0.05 0.985
For-0005 15B 3287.826 54.9 0.5 0.49 0.02 0.55 0.05 0.995
For-0006 15B 3287.826 49.9 0.8 0.49 0.05 0.77 0.08 0.992
For-0007 15B 3287.826 70.4 0.5 0.57 0.03 0.64 0.06 0.994
For-0008 15B 3287.826 63.2 0.5 0.62 0.03 0.97 0.05 0.926
For-0009 15B 3287.826 51.6 0.5 0.54 0.03 0.7 0.07 0.996
For-0010 15B 3287.826 41.1 0.4 0.53 0.02 0.78 0.04 0.985
For-0011 15B 3287.826 71.0 1.6 0.49 0.05 0.5 0.15 0.986
For-0012 15B 3287.826 32.9 1.2 0.35 0.05 0.64 0.1 0.966
For-0013 15B 3287.826 54.5 0.6 0.58 0.03 0.65 0.09 0.995
For-0014 15B 3287.826 43.6 1.0 "" "" "" "" 0.983
For-0015 15B 3287.826 79.0 0.8 0.43 0.04 0.43 0.09 0.949
For-0015 592B 3666.797 83.6 3.2 0.38 0.08 0.38 0.19 ""
For-0016 15B 3287.826 60.1 0.8 0.47 0.04 0.42 0.09 0.99
For-0017 15B 3287.826 59.4 0.5 0.45 0.03 0.57 0.06 0.995
For-0018 15B 3287.826 48.3 0.7 0.43 0.03 0.63 0.06 0.995
For-0019 15B 3287.826 146.1 5.7 "" "" "" "" 0.0
For-0020 15B 3287.826 65.3 0.6 0.5 0.04 0.57 0.08 0.994
For-0021 15B 3287.826 57.4 0.7 0.5 0.03 0.58 0.07 0.995
For-0022 15B 3287.826 70.2 0.7 0.44 0.03 0.54 0.06 0.99
For-0023 15B 3287.826 58.0 0.6 0.5 0.03 0.61 0.07 0.995
For-0024 15B 3287.826 65.6 0.6 0.54 0.04 0.57 0.08 0.993
For-0025 15B 3287.826 36.5 0.6 0.51 0.03 0.62 0.07 0.982
For-0026 15B 3287.826 58.3 0.4 0.52 0.02 0.72 0.04 0.998
For-0027 15B 3287.826 58.2 0.7 0.54 0.04 0.66 0.1 0.998
For-0028 15B 3287.826 55.9 0.5 0.52 0.03 0.68 0.05 0.997
For-0028 4B 4027.679 55.9 0.5 0.5 0.02 0.7 0.04 ""
For-0029 15B 3287.826 64.3 0.7 0.57 0.04 0.66 0.08 0.995
For-0029 4B 4019.683 68.7 1.1 0.55 0.03 0.75 0.07 ""
For-0030 15B 3287.826 111.9 2.8 0.27 0.04 0.91 0.05 0.001
For-0031 15B 3287.826 70.5 0.5 0.55 0.02 0.55 0.05 0.993
For-0032 15B 3287.826 48.4 0.6 0.48 0.04 0.72 0.07 0.997
For-0033 15B 3287.826 68.8 0.5 0.46 0.03 0.55 0.05 0.997
For-0034 15B 3287.826 83.3 0.8 0.42 0.04 0.59 0.08 0.962
For-0034 4B 4027.679 82.8 1.1 "" "" "" "" ""
For-0035 15B 3287.826 51.8 0.5 0.52 0.02 0.63 0.04 0.996
For-0036 15B 3287.826 58.3 0.5 0.54 0.03 0.66 0.06 0.996
For-0037 15B 3287.826 47.3 0.6 0.54 0.03 0.57 0.07 0.995
For-0038 15B 3287.826 43.6 0.5 0.47 0.03 0.67 0.05 0.992
For-0039 15B 3287.826 59.5 0.5 0.48 0.04 0.46 0.08 0.991
For-0040 15B 3287.826 74.3 3.9 0.02 0.23 0.28 0.29 0.969
For-0041 15B 3287.826 57.8 2.9 0.5 0.11 -0.03 0.39 0.984
For-0042 15B 3287.826 54.7 2.6 0.43 0.1 0.25 0.37 0.988
For-0043 15B 3287.826 41.8 3.5 0.34 0.12 0.54 0.29 0.982
For-0044 15B 3287.826 69.6 0.7 0.61 0.04 0.75 0.09 0.988
For-0045 15B 3287.826 24.8 1.3 0.55 0.06 0.62 0.19 0.64
For-0045 592B 3666.797 19.5 0.8 0.61 0.04 0.76 0.08 ""
For-0046 15B 3287.826 34.5 4.4 0.34 0.14 0.27 0.42 0.1
For-0046 592B 3666.797 -2.9 3.4 0.43 0.15 0.58 0.34 ""
For-0047 15B 3287.826 57.9 0.8 0.58 0.04 0.78 0.07 0.992
For-0047 592B 3666.797 56.3 0.6 0.54 0.03 0.72 0.06 ""
For-0048 15B 3287.826 83.4 0.5 0.45 0.04 0.61 0.06 0.961
For-0048 4B 4019.683 81.7 1.7 0.51 0.05 0.34 0.13 ""
For-0048 4B 4021.61 85.3 0.4 0.49 0.03 0.72 0.05 ""
For-0049 15B 3287.826 42.3 0.4 0.47 0.03 0.47 0.06 0.992
For-0049 4B 4019.683 40.4 0.9 0.41 0.04 0.64 0.07 ""
For-0050 15B 3287.826 68.1 0.5 0.52 0.03 0.57 0.07 0.994
For-0051 15B 3287.826 51.3 0.5 0.54 0.03 0.76 0.04 0.994
For-0052 15B 3287.826 51.1 0.8 0.36 0.02 0.39 0.05 0.988
For-0053 15B 3287.826 72.5 0.4 0.51 0.02 0.6 0.05 0.989
For-0054 15B 3287.826 60.9 0.4 0.53 0.03 0.64 0.05 0.995
For-0055 15B 3287.826 52.5 0.6 0.47 0.04 0.6 0.08 0.996
For-0056 15B 3287.826 50.2 0.7 0.41 0.03 0.46 0.06 0.988
For-0056 4B 4021.61 46.9 0.7 0.37 0.03 0.25 0.08 ""
For-0057 15B 3287.826 50.0 0.6 0.52 0.03 0.61 0.07 0.995
For-0058 15B 3287.826 45.9 0.4 0.45 0.03 0.5 0.05 0.992
For-0059 15B 3287.826 73.2 0.4 0.55 0.02 0.57 0.05 0.988
For-0060 15B 3287.826 55.5 0.4 0.55 0.02 0.72 0.04 0.994
For-0061 15B 3287.826 46.7 3.6 0.49 0.11 0.67 0.14 0.991
For-0062 15B 3287.826 50.3 1.1 0.43 0.06 0.57 0.1 0.993
For-0063 15B 3287.826 77.8 0.5 0.51 0.02 0.68 0.05 0.974
For-0064 15B 3287.826 52.8 0.4 0.56 0.02 0.63 0.05 0.995
For-0065 15B 3287.826 64.5 0.5 0.52 0.03 0.6 0.06 0.994
For-0066 15B 3287.826 62.2 5.2 0.52 0.1 0.27 0.19 0.981
For-0067 15B 3287.826 58.4 2.7 0.47 0.1 0.45 0.18 0.99
For-0068 15B 3287.826 50.8 2.3 0.44 0.05 0.26 0.13 0.971
For-0069 15B 3287.826 53.4 0.5 0.49 0.03 0.47 0.07 0.992
For-0070 15B 3287.826 56.9 0.4 0.51 0.03 0.59 0.06 0.995
For-0071 15B 3287.826 50.0 3.8 0.3 0.07 0.2 0.15 0.962
For-0072 15B 3287.826 50.0 0.4 0.51 0.02 0.63 0.04 0.995
For-0073 15B 3287.826 60.5 0.4 0.51 0.03 0.86 0.05 0.982
For-0074 15B 3287.826 53.7 0.4 0.51 0.03 0.69 0.06 0.995
For-0075 15B 3287.826 63.5 0.4 0.51 0.02 0.63 0.05 0.995
For-0076 15B 3287.826 63.1 0.4 0.51 0.02 0.67 0.05 0.995
For-0077 15B 3287.826 54.6 0.4 0.47 0.02 0.66 0.04 0.995
For-0078 15B 3287.826 58.4 0.4 0.5 0.03 0.63 0.05 0.995
For-0079 15B 3287.826 40.1 0.4 0.51 0.03 0.75 0.05 0.983
For-0080 15B 3287.826 60.6 0.4 0.48 0.02 0.69 0.04 0.995
For-0080 33B 4026.689 54.7 1.8 0.34 0.78 0.47 0.18 ""
For-0081 15B 3287.826 49.4 0.7 0.51 0.03 0.62 0.06 0.995
For-0082 15B 3287.826 57.8 0.4 0.4 0.02 0.46 0.04 0.993
For-0082 33B 4026.689 53.2 1.8 0.45 0.09 0.66 0.07 ""
For-0083 15B 3287.826 67.2 0.4 0.46 0.02 0.55 0.04 0.993
For-0084 15B 3287.826 63.5 0.4 0.51 0.02 0.61 0.04 0.994
For-0084 33B 4026.689 63.6 2.2 "" "" 0.68 0.13 ""
For-0085 15B 3287.826 70.1 1.1 0.43 0.05 0.29 0.18 0.972
For-0086 15B 3287.826 46.1 0.5 0.61 0.03 1.01 0.05 0.81
For-0087 15B 3287.826 53.5 0.4 0.6 0.02 0.87 0.06 0.979
For-0088 15B 3287.826 58.8 0.6 0.58 0.02 1.04 0.07 0.864
For-0089 15B 3287.826 73.1 0.5 "" "" "" "" 0.975
For-0090 15B 3287.826 53.4 0.4 0.58 0.02 0.94 0.06 0.945
For-0091 15B 3287.826 45.7 0.7 0.66 0.03 1.13 0.1 0.761
For-0092 15B 3287.826 39.3 1.3 "" "" 1.14 0.08 0.395
For-0093 15B 3287.826 60.5 0.6 "" "" "" "" 0.988
For-0094 15B 3287.826 62.7 0.6 0.56 0.03 0.85 0.06 0.983
For-0095 15R 3287.826 55.7 3.4 0.37 0.06 0.58 0.12 0.99
For-0095 4B 4019.683 70.2 0.5 0.56 0.03 0.63 0.06 ""
For-0095 4B 4021.61 72.0 0.4 0.56 0.02 0.8 0.03 ""
For-0096 15R 3287.826 38.6 7.9 0.38 0.08 0.55 0.15 0.989
For-0096 592B 3666.797 44.5 0.6 0.55 0.03 0.46 0.08 ""
For-0097 15R 3287.826 60.2 2.4 0.37 0.05 0.57 0.1 0.995
For-0097 33B 4026.689 56.0 1.9 0.36 0.05 0.64 0.08 ""
For-0098 15R 3287.826 71.7 2.0 0.46 0.03 0.48 0.09 0.991
For-0098 33B 4026.689 69.5 2.1 0.42 0.05 0.68 0.09 ""
For-0099 15R 3287.826 65.8 3.1 0.38 0.06 0.68 0.11 0.69
For-0099 33B 4026.689 62.9 1.9 0.39 0.06 1.12 0.05 ""
For-0100 15R 3287.826 79.9 2.7 0.39 0.04 0.46 0.1 0.981
For-0100 33B 4026.689 75.2 1.2 0.52 0.03 0.59 0.07 ""
For-0101 15R 3287.826 78.5 3.0 0.46 0.07 0.86 0.11 0.964
For-0101 33B 4026.689 79.0 1.9 "" "" 0.56 0.13 ""
For-0102 15R 3287.826 52.5 1.8 0.37 0.05 0.56 0.1 0.994
For-0102 33B 4026.689 56.5 3.8 0.32 0.1 0.41 0.21 ""
For-0103 15R 3287.826 35.0 6.5 0.32 0.06 0.37 0.12 0.971
For-0104 15R 3287.826 69.8 7.5 0.43 0.05 0.23 0.14 0.969
For-0105 15R 3287.826 55.5 1.4 0.47 0.03 0.64 0.09 0.996
For-0106 15R 3287.826 43.4 2.7 0.38 0.04 0.55 0.1 0.993
For-0107 15R 3287.826 58.2 2.8 0.4 0.04 0.75 0.1 0.995
For-0108 15R 3287.826 63.8 2.2 0.54 0.03 0.57 0.1 0.994
For-0109 15R 3287.826 46.3 2.8 0.4 0.04 0.71 0.1 0.992
For-0110 15R 3287.826 65.7 1.7 0.35 0.04 0.63 0.1 0.997
For-0111 15R 3287.826 73.9 5.1 0.45 0.05 0.46 0.13 0.987
For-0112 15R 3287.826 42.6 2.3 0.4 0.04 0.37 0.1 0.982
For-0113 15R 3287.826 72.0 2.6 0.43 0.03 0.4 0.09 0.976
For-0114 15R 3287.826 56.6 2.0 0.47 0.03 0.56 0.1 0.995
For-0115 15R 3287.826 75.2 2.1 0.35 0.03 0.41 0.09 0.97
For-0116 15R 3287.826 58.4 1.7 0.42 0.04 0.55 0.1 0.994
For-0117 15R 3287.826 58.8 5.2 0.61 0.05 0.54 0.15 0.993
For-0118 15R 3287.826 58.1 5.5 0.36 0.09 0.51 0.14 0.993
For-0119 15R 3287.826 40.6 3.2 0.38 0.07 0.64 0.13 0.987
For-0120 15R 3287.826 71.0 4.7 0.32 0.09 0.79 0.12 0.986
For-0121 15R 3287.826 44.7 7.9 0.13 0.13 0.62 0.15 0.99
For-0122 15R 3287.826 56.9 1.4 0.37 0.04 0.5 0.09 0.994
For-0123 15R 3287.826 27.7 3.5 0.38 0.06 0.62 0.12 0.926
For-0124 15R 3287.826 63.9 5.5 0.41 0.07 0.56 0.14 0.993
For-0125 15R 3287.826 65.5 9.8 0.52 0.06 0.38 0.16 0.986
For-0126 15R 3287.826 52.9 3.5 0.31 0.06 0.62 0.11 0.996
For-0127 15R 3287.826 61.5 6.1 0.41 0.04 0.38 0.12 0.995
For-0128 15R 3287.826 43.1 3.9 0.4 0.04 0.38 0.11 0.992
For-0129 15R 3287.826 52.2 3.7 0.45 0.05 0.46 0.11 0.997
For-0130 15R 3287.826 51.6 4.3 0.35 0.06 0.41 0.12 0.996
For-0131 15R 3287.826 74.7 3.7 0.44 0.04 0.57 0.1 0.996
For-0131 4R 4019.683 72.1 1.0 0.42 0.04 0.71 0.1 ""
For-0131 4R 4027.679 70.4 1.3 0.49 0.03 0.68 0.09 ""
For-0132 15R 3287.826 59.7 9.7 0.32 0.06 0.54 0.12 0.994
For-0133 15R 3287.826 41.2 8.6 0.14 0.12 0.76 0.13 0.986
For-0134 15R 3287.826 47.4 3.7 0.41 0.05 0.41 0.13 0.992
For-0135 15R 3287.826 54.9 3.1 0.35 0.04 0.38 0.1 0.996
For-0135 4R 4027.679 58.1 1.3 0.39 0.04 0.58 0.09 ""
For-0136 15R 3287.826 48.1 2.1 0.45 0.04 0.67 0.1 0.994
For-0137 15R 3287.826 58.6 3.9 0.63 0.05 0.37 0.17 0.989
For-0138 15R 3287.826 59.7 8.3 0.3 0.23 0.36 0.38 0.988
For-0139 15R 3287.826 71.7 4.7 0.55 0.05 0.61 0.13 0.988
For-0140 15R 3287.826 58.6 2.6 0.44 0.05 0.57 0.11 0.994
For-0141 15R 3287.826 78.6 6.7 0.1 0.19 0.13 0.19 0.91
For-0142 15R 3287.826 66.8 2.5 0.43 0.04 0.73 0.1 0.992
For-0143 15R 3287.826 81.3 10.8 0.59 0.06 0.17 0.22 0.944
For-0144 15R 3287.826 44.7 7.8 0.33 0.06 0.56 0.11 0.991
For-0145 15R 3287.826 40.7 4.5 0.45 0.05 0.56 0.11 0.988
For-0146 15R 3287.826 48.7 6.0 0.36 0.05 0.45 0.11 0.992
For-0147 15R 3287.826 44.7 4.8 0.41 0.05 0.6 0.11 0.994
For-0148 15R 3287.826 72.1 4.7 0.36 0.06 0.54 0.11 0.988
For-0149 15R 3287.826 58.2 1.9 0.38 0.04 0.51 0.09 0.994
For-0150 15R 3287.826 48.4 5.1 0.36 0.06 0.7 0.11 0.993
For-0151 15R 3287.826 67.1 8.1 0.2 0.07 0.54 0.12 0.991
For-0152 15R 3287.826 62.4 2.8 0.41 0.05 0.56 0.11 0.994
For-0153 15R 3287.826 34.8 3.7 0.42 0.07 0.41 0.15 0.96
For-0154 15R 3287.826 53.3 6.7 0.36 0.07 0.36 0.14 0.987
For-0155 15R 3287.826 51.5 2.4 0.44 0.03 0.42 0.1 0.99
